timestamp,open,high,low,close,volume
2025-06-13 20:00:00,3432.352,3434.78,3428.955,3433.449,6186
2025-06-15 22:00:00,3440.955,3451.255,3438.616,3448.312,13397
2025-06-15 23:00:00,3448.425,3450.122,3439.518,3444.141,11543
2025-06-16 00:00:00,3444.166,3451.224,3434.286,3436.183,15283
2025-06-16 01:00:00,3436.135,3443.228,3433.208,3441.51,15636
2025-06-16 02:00:00,3441.515,3446.374,3437.889,3438.432,10595
2025-06-16 03:00:00,3438.392,3439.683,3429.269,3431.428,9733
2025-06-16 04:00:00,3431.475,3433.277,3426.895,3427.567,7345
2025-06-16 05:00:00,3427.522,3430.46,3417.753,3421.614,13246
2025-06-16 06:00:00,3421.649,3421.649,3412.964,3418.301,15261
2025-06-16 07:00:00,3418.192,3419.843,3409.482,3412.619,13105
2025-06-16 08:00:00,3412.624,3418.536,3409.776,3413.919,10068
2025-06-16 09:00:00,3413.955,3419.528,3411.902,3412.028,8486
2025-06-16 10:00:00,3412.075,3421.364,3410.609,3421.028,8389
2025-06-16 11:00:00,3421.019,3422.654,3410.754,3415.0,9452
2025-06-16 12:00:00,3415.043,3417.822,3411.12,3415.685,12051
2025-06-16 13:00:00,3415.648,3418.093,3382.725,3388.229,32881
2025-06-16 14:00:00,3388.255,3399.432,3387.401,3397.001,27464
2025-06-16 15:00:00,3396.895,3405.688,3396.895,3404.606,14102
2025-06-16 16:00:00,3404.534,3404.992,3397.443,3399.473,9040
2025-06-16 17:00:00,3399.464,3400.231,3391.09,3392.593,7940
2025-06-16 18:00:00,3392.561,3394.076,3384.084,3385.322,7205
2025-06-16 19:00:00,3385.336,3388.51,3382.795,3384.094,8220
2025-06-16 20:00:00,3384.015,3386.067,3383.294,3384.922,3930
2025-06-16 22:00:00,3386.69,3398.531,3386.442,3395.465,6710
2025-06-16 23:00:00,3395.451,3402.977,3393.039,3402.769,9914
2025-06-17 00:00:00,3402.815,3403.289,3391.455,3394.191,14489
2025-06-17 01:00:00,3394.219,3402.469,3393.321,3393.689,11577
2025-06-17 02:00:00,3393.7,3400.444,3388.251,3390.069,10614
2025-06-17 03:00:00,3390.046,3392.591,3373.535,3387.583,15778
2025-06-17 04:00:00,3387.557,3396.268,3387.051,3393.979,7198
2025-06-17 05:00:00,3394.024,3395.46,3390.679,3392.641,7798
2025-06-17 06:00:00,3392.652,3392.652,3381.074,3385.484,11290
2025-06-17 07:00:00,3385.452,3391.94,3383.134,3387.783,10114
2025-06-17 08:00:00,3387.784,3388.651,3377.77,3378.848,9974
2025-06-17 09:00:00,3378.823,3385.976,3375.747,3385.652,12459
2025-06-17 10:00:00,3385.577,3398.783,3385.327,3398.089,11853
2025-06-17 11:00:00,3398.176,3400.131,3388.219,3388.635,11347
2025-06-17 12:00:00,3388.65,3391.59,3383.508,3386.689,16566
2025-06-17 13:00:00,3386.693,3397.536,3385.815,3390.675,20674
2025-06-17 14:00:00,3390.651,3392.056,3366.079,3385.032,27253
2025-06-17 15:00:00,3385.01,3388.286,3372.369,3379.284,14693
2025-06-17 16:00:00,3379.386,3385.941,3376.677,3382.881,12062
2025-06-17 17:00:00,3382.897,3391.326,3381.337,3390.258,10408
2025-06-17 18:00:00,3390.27,3392.499,3382.422,3382.821,8328
2025-06-17 19:00:00,3382.834,3386.408,3382.296,3385.71,7787
2025-06-17 20:00:00,3385.675,3390.315,3383.634,3388.822,4546
2025-06-17 22:00:00,3392.82,3396.256,3388.782,3388.854,5595
2025-06-17 23:00:00,3388.903,3390.31,3384.926,3387.38,5206
2025-06-18 00:00:00,3387.295,3388.919,3382.918,3385.853,9003
2025-06-18 01:00:00,3385.883,3388.722,3378.653,3379.022,9854
2025-06-18 02:00:00,3378.926,3379.716,3370.63,3379.393,8985
2025-06-18 03:00:00,3379.433,3391.524,3379.302,3390.96,7357
2025-06-18 04:00:00,3390.928,3400.0,3389.388,3395.176,7482
2025-06-18 05:00:00,3395.225,3395.698,3384.199,3386.407,10372
2025-06-18 06:00:00,3386.426,3386.874,3379.364,3382.381,9764
2025-06-18 07:00:00,3382.344,3386.195,3377.037,3385.991,8955
2025-06-18 08:00:00,3385.894,3388.38,3382.56,3383.611,7007
2025-06-18 09:00:00,3383.604,3385.533,3375.433,3378.079,7011
2025-06-18 10:00:00,3378.146,3382.422,3375.686,3380.193,8175
2025-06-18 11:00:00,3380.238,3387.026,3378.918,3382.048,8912
2025-06-18 12:00:00,3381.999,3389.92,3381.592,3386.534,11109
2025-06-18 13:00:00,3386.647,3396.852,3385.666,3392.333,13194
2025-06-18 14:00:00,3392.288,3392.447,3373.833,3386.892,24003
2025-06-18 15:00:00,3386.924,3392.88,3381.214,3392.734,10188
2025-06-18 16:00:00,3392.709,3394.683,3389.924,3391.031,6911
2025-06-18 17:00:00,3391.031,3391.295,3384.291,3385.333,6172
2025-06-18 18:00:00,3385.359,3395.803,3378.362,3379.067,24930
2025-06-18 19:00:00,3379.109,3379.294,3362.867,3366.818,25114
2025-06-18 20:00:00,3366.771,3369.444,3362.474,3368.518,7983
2025-06-18 22:00:00,3373.198,3379.89,3370.586,3375.178,6578
2025-06-18 23:00:00,3375.166,3377.063,3370.664,3375.023,6476
2025-06-19 00:00:00,3375.042,3383.292,3374.72,3379.416,7923
2025-06-19 01:00:00,3379.442,3387.968,3374.516,3374.881,13810
2025-06-19 02:00:00,3374.902,3379.478,3373.998,3376.783,7071
2025-06-19 03:00:00,3376.727,3377.366,3369.72,3373.609,6852
2025-06-19 04:00:00,3373.609,3375.191,3372.001,3374.508,4483
2025-06-19 05:00:00,3374.514,3375.314,3360.187,3364.477,9461
2025-06-19 06:00:00,3364.52,3364.818,3347.474,3357.401,22830
2025-06-19 07:00:00,3357.446,3369.142,3350.693,3365.957,14974
2025-06-19 08:00:00,3366.004,3371.651,3362.215,3368.65,10668
2025-06-19 09:00:00,3368.679,3373.624,3363.635,3370.267,8512
2025-06-19 10:00:00,3370.31,3379.05,3369.027,3374.947,8193
2025-06-19 11:00:00,3375.046,3375.547,3370.484,3371.967,6836
2025-06-19 12:00:00,3371.971,3372.57,3363.787,3367.958,9023
2025-06-19 13:00:00,3367.996,3372.963,3361.52,3369.573,11787
2025-06-19 14:00:00,3369.547,3371.005,3361.574,3364.632,9994
2025-06-19 15:00:00,3364.607,3371.922,3362.182,3369.26,10662
2025-06-19 16:00:00,3369.223,3371.703,3366.108,3371.146,6389
2025-06-19 17:00:00,3371.105,3374.14,3370.972,3373.455,1102
2025-06-19 22:00:00,3369.491,3370.375,3361.971,3365.623,7503
2025-06-19 23:00:00,3365.643,3370.411,3363.627,3368.739,6671
2025-06-20 00:00:00,3368.763,3370.35,3364.625,3368.174,7797
2025-06-20 01:00:00,3368.142,3368.289,3356.08,3356.516,10668
2025-06-20 02:00:00,3356.476,3360.653,3351.551,3352.479,10519
2025-06-20 03:00:00,3352.51,3356.353,3344.625,3355.507,11623
2025-06-20 04:00:00,3355.611,3357.693,3352.499,3354.316,5536
2025-06-20 05:00:00,3354.284,3355.186,3342.726,3344.74,8985
2025-06-20 06:00:00,3344.773,3348.691,3340.345,3345.292,10422
2025-06-20 07:00:00,3345.251,3355.333,3343.382,3347.685,9591
2025-06-20 08:00:00,3347.657,3352.519,3346.681,3351.026,7696
2025-06-20 09:00:00,3350.977,3359.236,3349.177,3355.228,7717
